# name, ra dec R:0-1 G:0-1 B:0-1 alpha size band jd count 
17_22 68.47595102642951 18.033160316274454 1 0 1 1 30 I 2458492.56823317 85029.15609928302
17_30 68.37755669947835 18.352470209041833 1 0 1 1 30 I 2458492.56823317 129015.7692419478
17_37 68.32930718105834 18.0965379562873 1 0 1 1 30 I 2458492.56823317 190903.64522926928
17_38 68.32979096461015 18.188697803010516 1 0 1 1 30 I 2458492.56823317 237861.16255402227
17_40 68.32892167669895 18.347714299311775 1 0 1 1 30 I 2458492.56823317 205377.46627212007
17_41 68.32829895281851 18.349649244246606 1 0 1 1 30 I 2458492.56823317 205614.89319268733
17_44 68.30013840445396 18.26494678167937 1 0 1 1 30 I 2458492.56823317 272279.4330460741
17_47 68.29028768881007 18.02937975967898 1 0 1 1 30 I 2458492.56823317 78440.08038173642
17_51 68.22992248080635 18.119556124355398 1 0 1 1 30 I 2458492.56823317 125451.24949097882
18_0 68.66644614837034 18.092632159854606 1 0 1 1 30 V 2458491.5648587 74341.87455987529
18_3 68.61870443516815 18.376602610891922 1 0 1 1 30 V 2458491.5648587 38606.91166214299
18_5 68.61222453460876 18.265163789538615 1 0 1 1 30 V 2458491.5648587 62503.14567267943
18_6 68.58788981036851 18.313341017797487 1 0 1 1 30 V 2458491.5648587 79121.97059244744
18_9 68.5534358810711 18.33166042455673 1 0 1 1 30 V 2458491.5648587 129937.99617475065
18_15 68.37755651826662 18.352468416409444 1 0 1 1 30 V 2458491.5648587 99534.523159861
18_18 68.34417019400449 18.021388250847195 1 0 1 1 30 V 2458491.5648587 41692.22107290656
18_22 68.32891424542707 18.347710926321067 1 0 1 1 30 V 2458491.5648587 106124.11851156765
18_28 68.22639089516193 18.088126876093664 1 0 1 1 30 V 2458491.5648587 86531.67361126693
18_29 68.22881481327909 18.400690891195136 1 0 1 1 30 V 2458491.5648587 94144.27081253096
22_1 68.66644964352398 18.092643241591897 1 0 1 1 30 I 2458491.56877346 69655.51996304787
22_10 68.61223859963766 18.2651576480993 1 0 1 1 30 I 2458491.56877346 80401.29621959789
22_11 68.61180948254182 18.26145935667547 1 0 1 1 30 I 2458491.56877346 80401.29621959789
22_13 68.587897814334 18.313316422846682 1 0 1 1 30 I 2458491.56877346 151018.75338896213
22_15 68.55802202914293 18.359264824537707 1 0 1 1 30 I 2458491.56877346 75945.1712456263
22_16 68.55344566305965 18.331641534103642 1 0 1 1 30 I 2458491.56877346 153749.74556385702
22_19 68.510528717917 18.4021437405448 1 0 1 1 30 I 2458491.56877346 166668.52118529723
22_22 68.47594898417681 18.03317345967473 1 0 1 1 30 I 2458491.56877346 83399.26231884619
22_23 68.47035317997215 18.054687742938384 1 0 1 1 30 I 2458491.56877346 71162.21293477164
22_30 68.37756763063335 18.35244449141838 1 0 1 1 30 I 2458491.56877346 129436.24705078907
22_36 68.33081481973333 18.180424635326805 1 0 1 1 30 I 2458491.56877346 68510.1429926228
22_37 68.32930855400942 18.096527113270135 1 0 1 1 30 I 2458491.56877346 191265.24165763363
22_38 68.32979609970978 18.188681143252882 1 0 1 1 30 I 2458491.56877346 237367.33713303175
22_40 68.32893588043903 18.347691152838035 1 0 1 1 30 I 2458491.56877346 201639.39985110168
22_41 68.32830788417321 18.349638646453283 1 0 1 1 30 I 2458491.56877346 201639.39985110174
22_44 68.30014285877876 18.264921458937494 1 0 1 1 30 I 2458491.56877346 271583.83488388726
22_47 68.29029046545149 18.029382099193363 1 0 1 1 30 I 2458491.56877346 78697.44686747275
22_49 68.22992349518398 18.1195481366143 1 0 1 1 30 I 2458491.56877346 125112.59703297152
23_10 68.54535404145315 18.38158210383148 1 0 1 1 30 R 2458491.56643016 69278.84100430814
23_16 68.41720190188681 18.073645913134136 1 0 1 1 30 R 2458491.56643016 84048.4473566142
23_17 68.3775437634461 18.35246437010344 1 0 1 1 30 R 2458491.56643016 192402.14999221906
23_18 68.37765875006363 18.408440320152295 1 0 1 1 30 R 2458491.56643016 79142.5809510337
23_25 68.3289085686596 18.34771250414776 1 0 1 1 30 R 2458491.56643016 273652.8434002802
23_31 68.22991457264723 18.11955161665806 1 0 1 1 30 R 2458491.56643016 204839.051622125
23_33 68.22887150550305 18.400692544306292 1 0 1 1 30 R 2458491.56643016 154466.69881419267
24_1 68.65374864044676 18.345540070744 1 0 1 1 30 R 2458493.567761 63966.92453256654
24_3 68.63096405220779 18.21720708950469 1 0 1 1 30 R 2458493.567761 86629.30912271253
24_7 68.61872990589644 18.376626692950392 1 0 1 1 30 R 2458493.567761 66295.49383638264
24_10 68.6122521100275 18.265169054122605 1 0 1 1 30 R 2458493.567761 118374.2879538301
24_13 68.58790285490115 18.313349995746318 1 0 1 1 30 R 2458493.567761 189825.09507403843
24_15 68.55802663011096 18.35929945252437 1 0 1 1 30 R 2458493.567761 106802.84802608038
24_16 68.55345418495567 18.331663147823328 1 0 1 1 30 R 2458493.567761 234287.82059890262
24_17 68.5453650289425 18.381587742738642 1 0 1 1 30 R 2458493.567761 64634.151447849
24_19 68.51052480971042 18.402173722519088 1 0 1 1 30 R 2458493.567761 253160.1382251613
24_22 68.47596304897648 18.03315842489333 1 0 1 1 30 R 2458493.567761 128372.67686495648
24_27 68.41721317589933 18.073625533410777 1 0 1 1 30 R 2458493.567761 65136.94867088269
24_29 68.3775680167924 18.3524609828496 1 0 1 1 30 R 2458493.567761 186789.1471469092
24_30 68.37768584775947 18.408447295207978 1 0 1 1 30 R 2458493.567761 75358.94069534275
24_35 68.33081778740946 18.180441759985605 1 0 1 1 30 R 2458493.567761 94640.26365046285
24_36 68.3293073845569 18.09652408465353 1 0 1 1 30 R 2458493.567761 309772.90492292756
24_37 68.32980016227829 18.188693813451103 1 0 1 1 30 R 2458493.567761 305908.3164889549
24_39 68.32893033836798 18.347735627281395 1 0 1 1 30 R 2458493.567761 263795.2559547985
24_44 68.295581985351 18.023547940568903 1 0 1 1 30 R 2458493.567761 119621.9485276638
24_46 68.2902941398199 18.029368011289392 1 0 1 1 30 R 2458493.567761 123767.0142443843
24_48 68.26676419174339 18.112346976925323 1 0 1 1 30 R 2458493.567761 60452.72272096839
24_51 68.22993038083344 18.119532082100474 1 0 1 1 30 R 2458493.567761 187318.32947752264
24_52 68.22640928716906 18.0880892872813 1 0 1 1 30 R 2458493.567761 208914.6845811595
25_0 68.66646235889719 18.09256787982057 1 0 1 1 30 V 2458491.56320821 71155.54265694472
25_3 68.61222672542706 18.265098331630053 1 0 1 1 30 V 2458491.56320821 62977.728852855624
25_6 68.55344858665643 18.331596831706957 1 0 1 1 30 V 2458491.56320821 128115.39629182118
25_11 68.37754434185754 18.352396736664886 1 0 1 1 30 V 2458491.56320821 98691.3174924771
25_14 68.33076678687429 18.180369755170393 1 0 1 1 30 V 2458491.56320821 47073.24172010362
25_17 68.3288886325586 18.34765762540488 1 0 1 1 30 V 2458491.56320821 108339.32645507538
25_23 68.22635104968067 18.08802811420283 1 0 1 1 30 V 2458491.56320821 83328.0047482755
26_0 68.6526971565564 18.345255398051233 1 0 1 1 30 V 2458493.56462337 35225.34520969532
26_5 68.61136556210128 18.265047843770244 1 0 1 1 30 V 2458493.56462337 62158.50875793221
26_6 68.58702572074381 18.313108847952115 1 0 1 1 30 V 2458493.56462337 77867.72129989779
26_7 68.55719110745004 18.358932008732097 1 0 1 1 30 V 2458493.56462337 52762.340503402396
26_11 68.47557154483896 18.03354018912243 1 0 1 1 30 V 2458493.56462337 70044.28274225834
26_19 68.33068525029925 18.18038774805633 1 0 1 1 30 V 2458493.56462337 46305.98304075966
26_26 68.29035851941278 18.02966460570826 1 0 1 1 30 V 2458493.56462337 78351.38277915101
27_3 68.6309835494065 18.217175132347908 1 0 1 1 30 V 2458491.56406927 39847.90024893208
27_8 68.6122897317089 18.265145940983558 1 0 1 1 30 V 2458491.56406927 62394.4520486949
27_10 68.5879326723045 18.313309872916424 1 0 1 1 30 V 2458491.56406927 78372.13014383914
27_12 68.5580588197216 18.35927641083485 1 0 1 1 30 V 2458491.56406927 53448.49109462586
27_13 68.55348848629036 18.33163358449843 1 0 1 1 30 V 2458491.56406927 130195.48529071771
27_14 68.54539790977498 18.381562416771114 1 0 1 1 30 V 2458491.56406927 34369.49003353875
27_18 68.4759796101102 18.03314978979657 1 0 1 1 30 V 2458491.56406927 70349.23627741935
27_22 68.41723608707834 18.07360281531047 1 0 1 1 30 V 2458491.56406927 30184.267988323718
27_23 68.37757691035705 18.352441810094103 1 0 1 1 30 V 2458491.56406927 99057.42825168947
27_26 68.34420295756283 18.021358439814126 1 0 1 1 30 V 2458491.56406927 41490.93126882338
27_31 68.32892936787945 18.34769892275198 1 0 1 1 30 V 2458491.56406927 106306.13663457468
27_40 68.2263993976255 18.088080429037525 1 0 1 1 30 V 2458491.56406927 84824.08443391306
29_9 68.47584010526549 18.03324020688249 1 0 1 1 30 V 2458493.56540598 69114.88704177491
30_1 68.666461220443 18.092661698864937 1 0 1 1 30 I 2458491.56955438 70056.16310097216
30_11 68.61224014697117 18.265160444888394 1 0 1 1 30 I 2458491.56955438 81764.93768268178
30_12 68.61180937672358 18.26146073683579 1 0 1 1 30 I 2458491.56955438 81764.93768268178
30_15 68.58789947388331 18.313322271718246 1 0 1 1 30 I 2458491.56955438 152371.9720092589
30_17 68.55802468412419 18.35926823261889 1 0 1 1 30 I 2458491.56955438 76665.06121004037
30_18 68.55344620729633 18.33164126281844 1 0 1 1 30 I 2458491.56955438 155090.4282859005
30_21 68.51052799622309 18.402146948932696 1 0 1 1 30 I 2458491.56955438 166310.58832131143
30_25 68.47596470083073 18.033184444822712 1 0 1 1 30 I 2458491.56955438 84730.94291544436
30_26 68.4703660634075 18.054699373562492 1 0 1 1 30 I 2458491.56955438 72669.53062616294
30_33 68.37757229594398 18.352439209523745 1 0 1 1 30 I 2458491.56955438 129728.00863468306
30_39 68.33083084036267 18.180421501114438 1 0 1 1 30 I 2458491.56955438 69054.28195610917
30_40 68.32933712682278 18.096533906341868 1 0 1 1 30 I 2458491.56955438 193214.2724905142
30_41 68.32980900174196 18.188678988168377 1 0 1 1 30 I 2458491.56955438 238301.57484393494
30_43 68.32894678519686 18.347681521298114 1 0 1 1 30 I 2458491.56955438 209019.116488202
30_47 68.30015837752634 18.26490841882743 1 0 1 1 30 I 2458491.56955438 271963.3277838385
30_51 68.29032102339669 18.02939269135796 1 0 1 1 30 I 2458491.56955438 79597.56155020335
30_57 68.22995093418142 18.119544809716203 1 0 1 1 30 I 2458491.56955438 127150.86023981772
31_0 68.66630217805077 18.092648273822288 1 0 1 1 30 V 2458492.5650759 40944.63880066725
31_1 68.65365755094831 18.345593636254094 1 0 1 1 30 V 2458492.5650759 35198.99553246642
31_7 68.61219088775783 18.265235423550997 1 0 1 1 30 V 2458492.5650759 62920.27305498146
31_8 68.58779669702139 18.313395917200737 1 0 1 1 30 V 2458492.5650759 78457.63727514372
31_12 68.54525328052688 18.381658606835774 1 0 1 1 30 V 2458492.5650759 35186.78824370534
31_15 68.4758977251977 18.033230189510384 1 0 1 1 30 V 2458492.5650759 71706.6832139295
31_18 68.41711921993632 18.073681321459166 1 0 1 1 30 V 2458492.5650759 30890.872819231627
31_19 68.377447350754 18.352546659692205 1 0 1 1 30 V 2458492.5650759 100587.6775598253
31_33 68.22982908207422 18.119619820465257 1 0 1 1 30 V 2458492.5650759 107189.6023100419
