# JD     source_name     fwhm     I_band_counts     V_band_counts     R_band_counts     I_band_magnitudes     I_band_magnitudes_Error     V_band_magnitudes     V_band_magnitudes_Error     R_band_magnitudes     R_band_magnitudes_Error     
2458504.644298     dm_tau     6.459698997875829     0.0     0.0     163396.06498279923     0.0     0.0     0.0     0.0     13.054579876120124     0.07867282435161958     
2458504.64531635     dm_tau     6.047201934012163     174906.85456900403     0.0     0.0     12.513808644199909     0.7355672940736561     0.0     0.0     0.0     0.0     
2458505.60686772     dm_tau     3.3070812575417827     0.0     84613.50924709468     0.0     0.0     0.0     14.015957545443571     0.02472622592760269     0.0     0.0     
2458505.60822662     dm_tau     2.957946716984058     0.0     0.0     201645.06398458657     0.0     0.0     0.0     0.0     12.802502900960706     0.09862493865157201     
2458505.60924439     dm_tau     2.8248229381615517     202513.90016409376     0.0     0.0     12.779210275468005     0.7466706506697989     0.0     0.0     0.0     0.0     
2458506.5948499     dm_tau     3.890398629439631     0.0     93199.22286218035     0.0     0.0     0.0     13.911378132680191     0.023568609340737127     0.0     0.0     
2458506.59618728     dm_tau     3.746540301723562     0.0     0.0     204778.34902341675     0.0     0.0     0.0     0.0     12.802988875148262     0.09195943991588802     
2458506.59718499     dm_tau     3.2187786388878648     206621.67683546024     0.0     0.0     12.885126242599503     0.7384905644293874     0.0     0.0     0.0     0.0     
2458507.59690558     dm_tau     3.7943033081771724     0.0     26708.269413561346     0.0     0.0     0.0     14.052693968217348     0.2703683232716458     0.0     0.0     
2458507.59824234     dm_tau     3.4445307012366597     0.0     0.0     67721.84250879896     0.0     0.0     0.0     0.0     13.278096112655632     0.15240311946608393     
2458507.59926509     dm_tau     3.3055493766510864     187727.06921738185     0.0     0.0     13.452987141408808     0.29760860943157497     0.0     0.0     0.0     0.0     
2458508.63437654     dm_tau     3.4933004471524276     0.0     11633.20539456834     0.0     0.0     0.0     nan     nan     0.0     0.0     
2458508.63571689     dm_tau     4.109963081538722     0.0     0.0     52436.87288837664     0.0     0.0     0.0     0.0     13.483186397538317     0.16210873860575492     
2458508.63674647     dm_tau     4.076449279139101     137212.28187855193     0.0     0.0     13.551628012217991     0.24577186244605542     0.0     0.0     0.0     0.0     
2458510.61867237     dm_tau     4.349718147386161     0.0     0.0     57039.51013987706     0.0     0.0     0.0     0.0     13.417713179912571     0.13440872608118878     
2458514.55247883     dm_tau     3.165692445035856     0.0     38087.99714298397     0.0     0.0     0.0     12.225157273157198     0.1996656495571161     0.0     0.0     
2458520.55546859     dm_tau     4.390204480128891     0.0     83198.17186403107     0.0     0.0     0.0     14.013163673688545     0.016222521699230736     0.0     0.0     
2458520.55677708     dm_tau     3.6854844005860254     0.0     0.0     194187.19111160166     0.0     0.0     0.0     0.0     12.827626512234357     0.0975485941172124     
2458520.55779635     dm_tau     3.481457920020865     198035.29491835745     0.0     0.0     12.943001260897248     0.7203960590876255     0.0     0.0     0.0     0.0     
2458521.54965927     dm_tau     3.4088783169451626     0.0     74525.79203702611     0.0     0.0     0.0     14.101549186584121     0.021761924904984135     0.0     0.0     
2458521.55098513     dm_tau     3.246355505835748     0.0     0.0     173175.32403280324     0.0     0.0     0.0     0.0     12.90805068767839     0.08982456148908224     
2458521.55201034     dm_tau     3.325386763263787     176931.23082663966     0.0     0.0     12.982341111150872     0.6412916173216627     0.0     0.0     0.0     0.0     
2458522.59115633     dm_tau     4.852761559223753     0.0     70711.8879770257     0.0     0.0     0.0     14.13658431870081     0.022782021071972337     0.0     0.0     
2458522.59247574     dm_tau     4.618681292789754     0.0     0.0     173277.79428794503     0.0     0.0     0.0     0.0     12.912179497428136     0.08832868635595015     
2458522.59349546     dm_tau     4.308829977280913     187785.98962334747     0.0     0.0     13.012832111706691     0.5163146422755883     0.0     0.0     0.0     0.0     
2458523.55453525     dm_tau     4.155909140462697     0.0     57894.96096032357     0.0     0.0     0.0     14.044157055184318     0.03531846403143329     0.0     0.0     
2458523.55587124     dm_tau     3.932223908964003     0.0     0.0     162066.3971976689     0.0     0.0     0.0     0.0     12.868767628355478     0.09469157916143983     
2458523.55689372     dm_tau     4.116784997558254     185922.94030498445     0.0     0.0     12.818934930795043     0.7493368686395746     0.0     0.0     0.0     0.0     
2458524.59259373     dm_tau     3.3849920056921197     0.0     61563.97525972403     0.0     0.0     0.0     14.241113875273522     0.023598774100562332     0.0     0.0     
2458524.59391508     dm_tau     3.402759038372986     0.0     0.0     152371.0752976599     0.0     0.0     0.0     0.0     13.012615703235548     0.09887747711380616     
2458524.59493335     dm_tau     2.9833267400982084     171331.4480865666     0.0     0.0     13.050039849115342     0.484713199881633     0.0     0.0     0.0     0.0     
2458525.59018128     dm_tau     4.704004192170229     0.0     0.0     142075.38210958618     0.0     0.0     0.0     0.0     13.004008846570079     0.09386601289303521     
2458525.59120326     dm_tau     4.700355381434229     159631.22199476036     0.0     0.0     13.083122722238429     0.3534666440782692     0.0     0.0     0.0     0.0     
